Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1/11/2022,0.406,0.415,0.399,0.401,88819285.6,2/11/2022,36132384.31,94595,42790968.6,17415523.34,0
31-10-2022,0.406,0.416,0.398,0.406,122659161.8,1/11/2022,49795540.27,132386,60759014.6,24673687.44,0
30-10-2022,0.42,0.422,0.398,0.406,117123022,31-10-2022,48145501.28,128298,55881523.3,22975992.73,0
29-10-2022,0.404,0.44,0.401,0.42,200912371.4,30-10-2022,84004083.81,209662,101998020.5,42665390.06,0
28-10-2022,0.388,0.411,0.378,0.404,139227634.2,29-10-2022,54818936.09,137492,70287705.7,27700689.45,0
27-10-2022,0.403,0.419,0.386,0.388,170796279.1,28-10-2022,68868223.55,174202,84785715.4,34221245.25,0
26-10-2022,0.4,0.412,0.395,0.403,197702684.6,27-10-2022,79697606.05,193617,104320167.8,42056766.23,0
25-10-2022,0.357,0.417,0.357,0.4,319472649,26-10-2022,125674457.9,300765,169588039.3,66601795.11,0
24-10-2022,0.362,0.365,0.353,0.357,92438606.2,25-10-2022,33254095.74,74681,44537002.7,16030007.9,0
23-10-2022,0.351,0.364,0.346,0.362,85104357.9,24-10-2022,30126571.96,71166,43186145.9,15299587.81,0
22-10-2022,0.349,0.354,0.343,0.351,71962552,23-10-2022,25145674.28,58566,36039980.3,12595617.53,0
21-10-2022,0.34,0.35,0.33,0.349,127159385.4,22-10-2022,43236898.52,97703,62801468.1,21362836.06,0
20-10-2022,0.35,0.356,0.336,0.34,111680559,21-10-2022,38777486.86,89027,52522406.1,18235786.51,0
19-10-2022,0.362,0.362,0.347,0.35,92329214.7,20-10-2022,32868771.35,75085,43056794,15327325.06,0
18-10-2022,0.372,0.374,0.357,0.362,95363501.1,19-10-2022,34914456.17,79683,45910187.6,16814303.21,0
17-10-2022,0.37,0.376,0.366,0.372,66215062.2,18-10-2022,24553623.25,56666,34776690.9,12896194.9,0
16-10-2022,0.364,0.375,0.364,0.37,61182203.2,17-10-2022,22511636.86,53629,31736122.5,11681715.42,0
15-10-2022,0.367,0.37,0.361,0.364,62954187.6,16-10-2022,23042598.67,56049,31167964.2,11410162.03,0
14-10-2022,0.377,0.389,0.361,0.367,135534544.8,15-10-2022,51320624.21,111634,73388520.2,27861286.55,0
13-10-2022,0.381,0.382,0.349,0.377,269611367.3,14-10-2022,99007956.03,204294,130526639.3,47949117.99,0
12/10/2022,0.391,0.395,0.376,0.381,100681651,13-10-2022,39030321.53,88106,50271973.1,19486151.55,0
11/10/2022,0.401,0.402,0.384,0.391,157186233.6,12/10/2022,62076335.43,132746,75070491,29649399.65,0
10/10/2022,0.423,0.427,0.398,0.401,108015329.8,11/10/2022,44710373.66,102036,49076040.4,20340717.43,0
9/10/2022,0.422,0.424,0.419,0.423,50765905.1,10/10/2022,21434773.51,55189,23364059.1,9866652.852,0
8/10/2022,0.424,0.427,0.419,0.422,57044040.1,9/10/2022,24194790.77,61876,26131699.7,11085732.5,0
7/10/2022,0.429,0.43,0.421,0.424,85765776,8/10/2022,36466183.75,76187,41778058.4,17764589.86,0
6/10/2022,0.431,0.437,0.425,0.429,87385034.1,7/10/2022,37708789.55,73846,44808711.3,19344104.77,0
5/10/2022,0.436,0.437,0.424,0.431,86070134.7,6/10/2022,37012701.03,72720,41060849.3,17661118.98,0
4/10/2022,0.428,0.438,0.425,0.435,89193827.3,5/10/2022,38559189.54,73491,47095914.3,20365784.04,0
3/10/2022,0.419,0.429,0.416,0.428,97901531.3,4/10/2022,41492690.08,80871,49400692.9,20945009.66,0
2/10/2022,0.43,0.433,0.418,0.419,79897439.7,3/10/2022,33983983.25,75358,37186756.8,15823560.29,0
1/10/2022,0.435,0.436,0.427,0.43,61750878.7,2/10/2022,26665782.66,51688,29299699.8,12656148.29,0
30-09-2022,0.438,0.442,0.429,0.435,120942156.5,1/10/2022,52581142.2,104996,60640998.4,26368817.67,0
29-09-2022,0.436,0.439,0.428,0.438,120381859.1,30-09-2022,52239546.21,104043,59283357.2,25744104.16,0
28-09-2022,0.441,0.443,0.425,0.436,126497310.3,29-09-2022,54812532.99,121485,61033953.3,26442922.58,0
27-09-2022,0.447,0.463,0.437,0.441,148327423.1,28-09-2022,67019502.96,138569,70095713.7,31677530.81,0
